Exposant	Pitch	Secteur	Pays	AI	Pays
Métropole du Grand Paris	The Greater Paris Metropolis is a dense, urban inter-municipality that includes 131 municipalities and 7.2 million inhabitants.	Government/Public institutions	France	0	France
MEWS LABS	"Mews Labs is the Mews Partners Data Science & AI lab. In 2021, Eurobios, a French leader for Data science & modeling, joined force with the consulting firm Mews Partners. This acquisition gave birth to Mews Labs, a solutions provider dedicated to the improvement of business processes and strategic decision-making through the use of powerful technologies and an intimate knowledge of business issues.
 
Mews Labs provides greater added value by helping clients solve complex problems and implementing efficient and innovative solutions tailored to their specific needs, around four main axes : 

-data science and artificial intelligence (data management, data science and AI methodology)
-Cyberphysical and Hybrid modelling, and simulation of complex systems (for optimization, prediction, and testing of results)
-multi-factor optimization and operational planning (modeling of resources and assets, cost analysis, and reduction…)."	Information technologies	France	47	France
MezzoLab Animation	"MezzoLab Animation produces video content for leading Tech companies.
Explainer Videos / Social Content / Product Videos
www.mezzolab.com"	Marketing/Advertising/Communication	Portugal	75	Hors France
MICCO	Micco's mission is to offer an all-in-one mobile banking and fintech platform that caters to company’s financial management needs, with an aim to lower the entry barrier for all business creators in France, foreign or local, and help them be more effective, and cost-efficient. We are committed to promote financial inclusion and empower all entrepreneurs who dare to dream and realise their dream.	Banking/Finance/Insurance/Legal	France	140	France
Microsoft	Microsoft enables digital transformation for the era of an intelligent cloud and an intelligent edge. Its mission is to empower every person and every organization on the planet to achieve more. Microsoft for Startups Founders Hub helps startups radically accelerate innovation by providing access to industry-leading AI services, expert guidance, and the essential technology needed to build a future-proofed startup.	Software Development/Cloud services	United States of America	319	Hors France
MIDGARD	"Based in Ajaccio, the innovative company Midgard was created in 2019 by an engineer trained at the École Nationale de l'Aviation Civile, expert in drone technologies and holder of a master's degree in Artificial Intelligence and Big Data, and a former firefighter.
MidGard's vision is to become the benchmark company in innovative decision support solutions and Artificial Intelligence applied to prevention, interventions and diagnosis linked to natural and technological hazards for all stakeholders involved in the management processes. crisis management. 
Midgard has developed a solution for early detection of vegetation fires called “FireGard”. Based on a “deep learning” Artificial Intelligence (AI) algorithm, this solution makes it possible to detect the first smoke in just a few tens of seconds. Coupled with cameras connected to a centralized surveillance network, “FireGard” analyzes captured images in real time.  and trigger automatic alerts with a low number of mistakes."	Software Development/Cloud services	France	87	France
Midljob	"MidlJob, a new French player specializing in inclusive matchmaking between candidates and employers, offers accessibility and a fresh connection experience for individuals seeking internships, apprenticeships, fixed-term contracts, or permanent positions, as well as for employers.

MidlJob provides a web and mobile application tailored to current digital habits, often described as 'The Inclusive Tinder of Employment'. It merges artificial intelligence for precise matching, incorporates features inspired by dating apps for user experience, and adopts social media approaches to bolster employer branding and personal branding.

We establish a close relationship that meets expectations and respects the uniqueness of each party.

Simply create your search, and the user only needs to like or dislike.

Join us on MidlJob.com and discover how we can streamline your job search or talent acquisition."	Software Development/Cloud services	France	331	France
Miles Republic	"Miles Republic is a platform dedicated to outdoor sports events (running, trail running, triathlon, cycling, skiing) where you can find more than 20,000 races.

On our marketplace:
- Participants can easily find and register for their next outdoor challenge, ensuring an unforgettable experience.
- Event organizers get an all-in-one solution to attract more participants and enhance their loyalty.
- Brands can engage with a qualified audience.

Created in 2020, we now have over 350,000 visitors per month, more than 500 organizers who enjoy our services, and raised €3 million in 2023 to support our growth."	Media/Entertainment/Culture	France	77	France
miLibris	"miLibris is a market-leading French tech company that develops digital content digitisation and distribution solutions for press publishers and major companies. 

Our technologies are based on a content ingestion and processing platform to create enriched digital editions, web and mobile e-readers to deliver a fluid and immersive experience, and modular white-label web and mobile interfaces to serve catalogues of titles and newsfeeds to end users.

Our expertise has been acclaimed by the leading French media and our business is expanding rapidly in Europe, North America and Africa."	Media/Entertainment/Culture	France	481	France
Milvue	"Thanks to their cooperation with providers and manufacturers from the healthcare community, Milvue responds to new challenges in medical imaging by creating a dedicated AI solution integrated into radiologists’ daily routine. This scalable solution helps them make faster diagnoses, better manage patients’ workflows, and focus even more efficiently on patients. They offer more than technical innovation: they are engaged in a medical, social, and societal revolution that puts practitioners back at the center of healthcare strategies.

Our AI does not replace radiologists, it makes them irreplaceable."	Health	France	170	France
MIMOPT Technology	"MIMOPT develops and markets Digital Signal Processing (DSP) solutions to maximize the throughput of optical communication systems while ensuring good performance and low complexity. Our solutions allow efficient use of all degrees of freedom such as polarization, wavelength, and space. Our team performs in-depth studies of the customer's transmission systems over several aspects as throughput, performance, and system complexity; and proposes digital and optical solutions to upgrade the client’s communication systems. We provide three Services: 

- Innovation: Transmission performance enhancement and optimization based on MIMOPT Intellectual Property
- Simulator:Standalone simulator platform enabling the client to build a complete optical transmission system 
- Engineering: Evaluate and upgrade the transmission  system based on existed advanced optical and digital solutions 

Applications: Optical fiber, Optical satellite communication, Free space optics, Underwater"	Telecom/Connectivity	France	0	France
MINCATEC ENERGY	"With Mincatec Energy, hydrogen is solid! 
Mincatec Energy is a player in the climate transition, using hydrogen as an energy carrier. 
It is an industrial company based in Belfort in the Bourgogne-Franche-Comté region of France that supplies solid hydrogen storage tanks in metal hydride form, to meet the needs of decarbonisation in industry, mobility and housing; an alternative to compressed or liquid H2 storage.
The advantages are manifold: 
- Safety / no ATEX: solid storage with a low residual pressure (9g) in the tank of 10 bars at 20°C / no leak. 
- High efficiency: no external energy consumption required to store and release hydrogen. 
- High performance: charging time of less than 10 minutes & flow rate of 500NL/min cumulatively per parallel tank
- No noise pollution and reduced operating costs: hydrogen storage does not require compression
- Small footprint compared with a gas storage solution / good volume density
- 100% recyclability
- European independence of material"	Energy	France	0	France
Mini Green Power	"Mini Green Power designs and installs ""Mini Green Power Plants"" that transform green waste and RDF into clean energy and biochar. These mini power plants are automated and remotely controllable. They supply energy which can then be transformed on demand into heat, cold, steam or even electricity through cogeneration. Our solution is dedicated to  energy-intensive manufacturers, waste industries and local collectivities faced with the dual problem of energy and waste treatment.
We also manufacture multi-stage dryers which can be used for sludges, digestat, wet biomass, algae, agricultural waste, wet waste. It is often economically interesting to dry waste before evacuation to save water evacuation cost."	Energy	France	0	France
Ministère de l'Agriculture et de l'Alimentation	"Chargé du renforcement de l’indépendance alimentaire, le ministère de l’Agriculture et de la Souveraineté alimentaire prépare et met en œuvre la politique du Gouvernement pour l’agriculture (y compris pour la politique de l’eau), les industries agroalimentaires, la forêt et le bois, et l’aquaculture.
 
En matière d’alimentation, le ministère intervient en lien avec le ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique et le ministère de la Santé et de la Prévention. Il est ainsi chargé de la sécurité sanitaire des aliments et dirige la police unique chargée des contrôles de sécurité en la matière.

Le ministère participe également, en lien avec le ministère de la Transition écologique et de la Cohésion des territoires, à la mise en œuvre de la feuille de route en faveur de la ruralité. Il participe également à l’action du Gouvernement contre le changement climatique et à l'adaptation à ses effets."	Government/Public institutions	France	49	France
Ministère de l'Economie, des Finances et de la Souveraineté Industrielle et Numérique	"The Ministry of the Economy, Finance and Industrial and Digital Sovereignty is responsible for preparing and implementing government policy in economic, financial, budgetary and taxing matters. As a sovereign ministry, its vast field of competence makes it a key entity in both functioning of the State and the economic life of the country. 

Discover its main attributions during the 2024 edition of VivaTech, with the participation of several digital ministry departments, namely SG/SNUM (information systems), IT and digital divisions of Public Finance, Customs, INSEE (statistics and economic studies)... 

Put your talent at the service of a strong and sustainable economy by working with our 130,000 employees, spread across the country.

Help us develop a culture of innovation and come to work in an environnement that encourages experimentation, innovation and promotes good practices. 

                                                

#Economy #GreenIndustry #IA #Cloud #Recruitment"	Government/Public institutions	France	358	France
Ministère de la Justice	"La Justice est l’une des grandes fonctions régaliennes assurées par l’État. Elle est administrée par le ministère de la Justice.

Le ministère de la Justice prépare les textes de loi et de règlement dans de nombreux domaines : droit de la famille, procédure civile, procédure pénale...

Il garantit le bon fonctionnement des juridic_tions (tribunaux et cours). A ce titre, il gère les ressources budgétaires mais aussi les moyens humains et matériels (équipements, constructions, informatique).

Il prend en charge les personnes qui lui sont confiées par l’autorité judiciaire : mineurs en conflit avec la loi ou en danger, personnes condamnées ou en attente de jugement."	Government/Public institutions	France	220	France
Ministère de la Transition Ecologique et de la Cohésion des territoires	"The digital department is responsible for the IT ecosystem of the Ministry of Ecology and Territorial Cohesion, its reliability and resilience. It carries the digital ambition by defining the strategy and implementing the infrastructures and information systems.
It maintains and develops numerous tools aimed at the public as well as civil servants.
It offers its expertise and advice to its various partners.
Within it, the Digital Factory acts as an incubator for state startups. It is part of the interministerial community beta.gouv.fr"	Government/Public institutions	France	268	France
Ministère des Armées	"Avec 10 milliards d’euros dédiés dans la loi de programmation militaire 2024-2030, le ministère des Armées s’est fixé l’objectif de consolider la supériorité technologique des armées. À ce titre, l’innovation se place au cœur de la stratégie de défense.

With 10 billion euros dedicated in the 2024-2030 military programming law, the Armed Forces Ministry aims to consolidate the technological superiority of the armed forces. As such, innovation is at the heart of defense strategy."	Government/Public institutions	France	68	France
Minkey	The digital solution to meet a network, professionals and business resources. Minkey helps you find a network, professionals and resources to launch your project.	HR/Training/Education	France	0	France
MIOM - Permis de conduire	We are an Agile Release Train from the Road Safety and the Digital Transformation Departments of the French Ministry of Interior. We develop new services for 60 Millions of users in France to promote road safety and modernize the driving license.	Government/Public institutions	France	27	France
MiPih	Mipih SIB is a public software company leading digital health and hospital information systems in France. In addition, it is a specialist in interoperability and a leading health data host. Our goal is to contribute to building an ethical and sovereign IT system for the sector.	Health	France	0	France
Mirror	"We are a Digital Innovation Agency.

Florence | Milan | Paris
60+ professionals working in-house and a network of 100 regular collaborators in brand strategy, art and creative direction, digital and marketing transformation, virtual and mixed reality environments.
Since 2011, Mirror has been driven by the aim of inspiring brands beyond digital innovation, with impactful, goal-oriented experiences."	Marketing/Advertising/Communication	Italy	308	Hors France
Mistertemp' Group	Mistertemp' Group, with 15 years of expertise, is Europe's premier provider of temp recruitment solutions. We combine a state-of-the-art tech platform with a robust network of over 200 agencies, managed by entrepreneurial professionals. Our reach spans all sectors, including medical, construction (BTP), and white-collar jobs. Supported by a dedicated team of over 300 collaborators, we connect nearly 10,000 people with job opportunities daily, offering unmatched speed and precision in temp hiring. At Mistertemp', we're redefining the recruitment landscape with innovation and a commitment to excellence.	HR/Training/Education	France	442	France
MISTRAL AI	"Mistral AI is a cutting-edge company based in Paris, France, developing large language models. TMistral AI is a team of dedicated researchers and engineers focused on building safe, robust, and beneficial AI systems. Their work is inspired by the idea that AI should be a tool that empowers everyone, and they are committed to making AI accessible and useful to all.

Mistral AI is also deeply committed to safety and ethics in AI. They strive to ensure their models behave responsibly, respect user privacy, and uphold societal values. They engage in ongoing research to address potential risks and challenges associated with AI, and they actively collaborate with the broader AI community to drive progress in the field."	Software Development/Cloud services	France	9	France
MISTRAL Pénal	"MISTRAL Pénal est un service numérique qui simplifie le suivi des dossiers pour les greffiers et automatise les activités de pilotage (statistiques) pour les DSGJ afin de leur faire gagner du temps au quotidien et leur permettre de se concentrer sur leurs activités à forte valeur ajoutée

MISTRAL Pénal améliore l’efficience du pilotage de l’activité juridictionnelle, de la saisie de la donnée jusqu’à son analyse.

Pour les greffiers : gagnez du temps en supprimant les tâches de recopie de données et de bâtonnage, et suivez votre progression grâce à la barre d’avancement du travail
Pour les DSGJ : améliorez la qualité des données, et gagnez en temps et confort lors de la production des indicateurs, tout en ayant des statistiques toujours à jour
Pour les chefs de juridiction : bénéficiez d’indicateurs de meilleure qualité, plus lisibles et facilement actionnables, pour une organisation optimisée"	Government/Public institutions	France	178	France
Mistu Limited	"Mistu’s revolutionary showering aid makes showering quicker and easier for those with mobility issues, assisted showering, people with psoriasis or sensitive skin – or to transform your daily shower into a spa-like indulgence. Infuse shower gel, shampoo, and skincare products directly into the water stream for a gentle, continuous cleanse. 
Our patented tech ensures effortless integration and personalized experience. 
Committed to improving sustainability, Mistu helps you to shower more quickly and efficiently, thus saving water, and offers eco-friendly cleansing with waterless tablets to reduce the use of plastic bottles and heavy liquid containers, and natural extracts promoting holistic wellness. 
Idea for care homes, the elderly or those who have mobility issues, hospitality, spa, hair salons, and pharmaceutical industries, Mistu redefines showering."	Consumer goods/Retail/E-commerce	Ireland	33	Hors France
Mitigant	"Mitigant is a cloud-native security and cyber resilience SaaS solution that empowers companies to proactively secure their infrastructures in Amazon Web Services, Microsoft Azure, Google Cloud Platform, and Kubernetes from cloud attacks. With a 15-minute onboarding process, Mitigant can ensure the cloud infrastructures are secure, compliant, and resilient with the world’s first and most comprehensive Cloud Attack Emulation platform.

- Verify the readiness of cloud infrastructures and the team against possible cloud attacks by automatically and safely emulating cloud attack scenarios based on the MITRE ATT&CK framework and Security Chaos Engineering approach.
- Detect and remediate security vulnerabilities in cloud infrastructure due to misconfigurations and compliance violations with automated cloud security assessments.
- Achieve compliance with cloud security standards and best practices, e.g., ISO 27001, BSI C5, PCI-DSS, and CIS Benchmarks."	Cybersecurity/Defense	Germany	502	Hors France
Mitsubishi Heavy Industries, Ltd.	As a global leader in “monozukuri” and engineering, MHI Group utilizes its advanced technology to provide integrated solutions in a wide range of fields, from infrastructure such as shipbuilding, transportation systems, commercial aircraft, and power systems, to space systems.	Energy	Japan	232	Hors France
Mitsubishi UFJ Financial Group, Inc.(MUFG)		Banking/Finance/Insurance/Legal	Japan	0	Hors France
MLR s.r.l.	MLR introduces WuvDay, an innovative platform designed to redefine digital journalism by empowering individuals globally to act as citizen reporters. Utilizing advanced GPS and timestamp technologies, WuvDay ensures the authenticity of each piece of content, from photos to videos, making it a formidable tool against the spread of fake news and AI-generated disinformation. This platform not only enhances the reliability of media but also promotes a transparent, accountable, and truthful media landscape. WuvDay invites everyone with a smartphone to document the world around them, turning ordinary citizens into trusted sources of news and information. Join us in our mission to uphold the integrity of news and foster a well-informed society.	Media/Entertainment/Culture	Italy	313	Hors France
MOABI Solutions	"L'audit de logiciels, communément appelé le pentesting, est une pratique essentielle pour évaluer la cybersécurité d'un logiciel. Cependant, il présente des inconvénients majeurs : il est long, répétitif et ne fournit qu'une image instantanée de la sécurité du logiciel. Dans un monde où les objets connectés se multiplient à une vitesse vertigineuse et où les cycles de développement se réduisent, il devient impératif d'automatiser ce processus pour assurer une sécurité optimale.
C'est là que notre solution entre en jeu. Nous avons développé une plateforme de reverse engineering qui permet d'auditer n'importe quel logiciel, même sans accès au code source. Cette innovation permet de caractériser la posture sécurité de tout logiciel à l'aide de métriques homogènes et répétables. En d'autres termes, elle offre une vision précise et constante de la sécurité logicielle. De plus, notre solution est industrialisée, garantissant une mise en œuvre efficace et une utilisation simplifiée."	Cybersecurity/Defense	France	744	France
Mob-Energy	"Mob-Energy designs, manufactures, deploys and supervises smart and mobile EV charging & energy storage solutions. 
We give automotive lithium-ion batteries a second life to design and manufacture these solutions, in France, and optimize the charging infrastructure and its installation, buildings' energy consumption of buildings as well as the user experience.

Meet Eiko, our highly-evolutive-ready-to-install-power-cube, on ENEDIS Booth :
- Eiko is a ""ready-to-install"" power cube that allows to electrify, in a scalable way, up to 20 places with a single cable connection to the grid and the power of a single traditional charging point.
- Its second life batteries allow Eiko to store energy during off-peak hours to smooth out energy consumption, or to store self-generated energy via solar panels, and to boost the network by delivering a higher output power than the connection power.
- Its high scalability unlocks the possibility to grow your infrastructure as the fleet electrifies: add mo..."	Energy	France	0	France
MOBICRAWL	Mobicrawl is a Saas platform that permitt to control operating system and security patches of mobile devices, over the air of a large fleet worldwide.	Cybersecurity/Defense	France	120	France
Mobilic		Mobility/Transportation	France	0	France
Mobility & Smart City Park by Togg	The Mobility & Smart City Park, sponsored by Togg, offers a vision of the future of urban transportation and infrastructure. Explore how the integration of advanced vehicle technologies and smart urban design improves city living through efficiency, safety, and sustainability. This space showcases transformative solutions for the interconnected city of tomorrow.	Mobility/Transportation	France	267	France
Mobility Metrix	"Make the mobility data of your territory speak

Mobility Metrix is a platform for visualizing, valuing, and analyzing multimodal mobility data to: 
- help local authorities, operators, and businesses make better use of their data 
- increase the impact on behavior changes 
- contribute to decarbonized mobility

Mobility Metrix offers tools to guide decisions, based on mobility data from all modes of transport: car, public transport, bicycle, scooter, walking, freight… Then Mobility Metrix provides indicators to track the impact of these decisions.

Mobility Metrix is a young startup, and the Software Republique provides us with support on several very important levels for our activity at our stage of development; data, R&D, coaching, sales..."	Information technologies	France	0	France
MOBINN	MOBINN's M3 delivery robot is capable of providing delivery services 'anywhere', 'anytime'. Thanks to the independently developed wheel system, it is possible to overcome various obstacles, such as stairs or bumps, with only wheels and without worrying about. Stability of the delivery item was ensured by always keeping the loading box horizontal. That's why, M3 can deliver coffee safely without spilling a single cup of coffee to customers. The LiDAR-based mapping system used by M3 enables it to operate regardless of the outside environment, whether it is night time or even raining and snowing.	Mobility/Transportation	South Korea	201	Hors France
MOBIUSPACK	"MOBIUSpack markets a reusable parcel solution to eliminate disposable packaging waste (polybags, cardboard boxes, kraft bags) and decarbonise logistics flows.

Because we need to prepare for the end of single-use packaging, we are encouraging businesses and their consumers to embark on a circular revolution!

To drive this revolution forward, we offer reusable, 100% sustainable and eco-designed packaging that meets a range of needs: fast handling, safety or protection of the container, optimising the empty portion.

To make the revolution complete, we track this packaging using an application that enables us to manage the fleet and measure its impact. And we're rounding off our solution with packaging maintenance and reverse logistics.

The perfect synergy between sustainability and technology to shape the logistics of tomorrow and finally put an end to disposable packaging!"	Consumer goods/Retail/E-commerce	France	374	France
Moda Live	"Deeptech startup Moda Live delivers an accurate live video fitting system for online clothing sales, that faithfully reproduces the movement and texture of fabrics, sizes and colors on the consumer, based on real morphology and in cinematic quality, living the imagination free for creative play.

Simply because consumers need to try on clothes before they buy them and there's no substitute for a moving fitting to get a good look.
- First accurate live video fitting system.
- Large-scale production of 3D garment models for traditionnaly designed collections.
- No integration effort required.

The Moda Live solution addresses the ecological disaster of mass returns with a true-to-life fitting experience. It also paves the way to smart phygital, helping physical distribution to succeed through undergoing restructuring. On a longer term, Moda Live solution is ideal for selling before manufacturing, thus avoiding the waste of unsold items."	Luxury/Fashion/Beauty	France	108	France
Modus Create	"Modus Create is a digital consulting firm that specializes in strategic advisory, full lifecycle product development, platform modernization, and digital operations. We have a dedicated OSPO (Open Source Program Office) team that focuses on developing new open source frameworks, programming languages, and tools. Additionally, our deep expertise in AI helps companies in various industries build competitive advantage through digital innovation. 

We have Modites worldwide to support our clients in almost every timezone. Modus is also an official partner to Google, Microsoft, AWS, GitHub, and Atlassian creating a unique ecosystem for customer success."	Consulting	United States of America	351	Hors France
Mogic AI	Mogic AI is a startup company focusing on leveraging Generative AI to empower creativity and provide better customer experience. As consumers' path to purchase transformed to 'interest & inspiration' and 'personalized', content creation has become an increasingly important capability for the brands. We think that technologies, especially Generative AI, can revolutionize the way content is created, help lower the barriers, bring in new ways of connecting customers at better efficiency and ultimately drives business growth.	Information technologies	China	7	Hors France
MOÏZ	MOÏZ is a deep-tech start-up developing thermal energy harvesting technologies. These technologies are used by the MOÏZ start-up to offer connected measurement modules able to power up to four sensors (T, P, vibration, humidity...) working in a fully autonomous way, i.e. without batteries nor wires. Wireless, installation is easy and economical. Battery-free, they can work more than 10 years without maintenance. Thanks to high-performance energy recovery, they can use larger quantities of energy than battery-powered IoT sensors, enabling them to power new features like cellular communications (LTE-M, NB IoT, 5G redcap), IA edge computing or complex sensors. In addition to generating ROI for our customers, our innovative sensors provide a sustainable solution to the challenge of powering the connected sensors involved in our society's digital transformation. Indeed, they recycle waste heat from industrial processes to power their monitoring, helping them to improve processes efficiency.	Industry	France	405	France
molluSCAN-eye	"24/7 water quality biomonitoring with connected mollusks. A unique pollution alert system that allows unparalleled responsiveness and precision in current monitoring systems (laboratory tests can't analyse everything and are slow). A major innovation for the protection of the environment.
We allow industries, ports, waste water treatment plants and municipalities to know and control the impact of their activities on the aquatic environment by providing 24/7 biomonitoring, remotely and without maintenance.
Benefits are:
- Real Time
- Sustainable
- Cost Effective
- Strong communication tool

17 years of R&D at University of Bordeaux and CNRS"	Smart City/Building	France	500	France
Moment Factory	Moment Factory is a multimedia studio with a full range of production expertise under one roof. Our team combines specializations in video, lighting, architecture, sound and special effects to create remarkable experiences. Headquartered in Montreal, the studio also has other addresses in Tokyo, Paris, New York City and Singapore. Since its inception in 2001, Moment Factory has created more than 550 unique projects worldwide, including the Lumina Night Walk series. Productions span the globe and include such clients as the Reims Cathedral, Changi Airport, Jain, Microsoft, Disney, the Notre-Dame Basilica of Montréal, Universal Studios, the Singapore Zoo and Muse.	Media/Entertainment/Culture	Canada	554	Hors France
Moments Lab	"Moments Lab’s mission is to help content producers build videos faster. Powered by a proprietary Multimodal AI technology the platform makes audiovisual content searchable to reduce the time spent sourcing the key moments required to tell a story. Our Multimodal AI called MXT is here to address video indexing challenges, describing sequences in natural language, enabling content professionals to focus on creativity and higher-value decisions.

Today, our platform is used worldwide by TV networks, sports rights holders, production companies, journalists, producers, and archivists to scale content creation workflows and generate new revenue streams. Whether it be for managing and accessing live recordings, clipping highlights, researching story angles, content retrieval, or content showcasing and licensing."	Information technologies	France	109	France
MON ARTISAN SAS	Mon Artisan is an online marketplace of skills on demand that solves the problem of visibility of craftsmen and actors of the informal by connecting them to the customers of the middle class in search of qualified providers for turnkey works.  Mon Artisan also offers, through partnerships, training and a set of financial and logistical tools to artisans in the network, thus offering them the right mix of market access, skills and support to make them champions of the local economy.	Smart City/Building	Cote d’Ivoire	294	Hors France
MONA AI GmbH	"Revolutionizing the staffing industry:
based in Saarbrücken, MONA AI has been transforming the staffing industry with its innovative software. Launched in May 2022, MONA AI focuses on automating recruitment processes through its virtual employee, Mona. Mona conducts digital interviews, makes automated calls, and sends SMS and emails, catering to applicants in over 56 languages. With nearly 100 clients onboard, MONA AI has facilitated over 325,000 interviews, dispatched a million emails, shared 450,000 profiles, and autonomously made 300,000 calls. This streamlined approach not only accelerates recruiting but also saves time and reduces costs. Powered by over 25 years of expertise from its founding team, MONA AI is revolutionizing the staffing landscape, paving the way for a more efficient, effective and personalised recruitment process."	Software Development/Cloud services	Germany	67	Hors France
monday.com	"monday.com is a work operating system (Work OS) where organizations of any size can create the tools and processes they need to manage every aspect of their work. By combining building blocks, like apps automations and integrations, teams can build or customize the workflows of their dreams.

The monday.com Work OS is a low code-no code platform that democratizes the power of software so organizations can easily build work management tools and software applications to fit their every need. The platform intuitively connects people to processes and systems, empowering teams to excel in every aspect of their work while creating an environment of transparency in business. monday.com has offices in Tel Aviv, New York, Chicago, Denver, London, Warsaw, Sydney, Melbourne, São Paulo, and Tokyo. Fully customizable to suit any business vertical, the platform is currently used by over 225,000 customers across more than 200 industries and in over 200 countries and territories."	Information technologies	Israel	0	Hors France
MONELECTROBOX	MONELECTROBOX aims to revolutionize the learning of electronics and coding by making them simple and fun. To achieve this, every two months you will receive a new box directly at your doorstep, associated with a new project to complete step by step, guided by engaging and educational content.	HR/Training/Education	France	15	France
Mooncard	"Mooncard, the reinvented expense management solution, covers everything from payment to accounting. It offers a platform, cards, and a mobile app to optimize operational team efficiency while giving control to finance teams.

Mooncard provides:

- A platform for automatic expense management and accounting: Customize and set rules, instant visibility by person or team, and simplified accounting integration.
- Physical or virtual payment cards for all needs: Customized settings according to expense policies and real-time budget tracking.
- Automated expense reports: Automated receipt retrieval system, personalized approval workflows, one-click reimbursement for employees, and 100% VAT recovery."	Banking/Finance/Insurance/Legal	France	0	France
Moov AI	"We are Moov AI, a consulting firm specializing in artificial intelligence and data. We have been recognized as “Canada's Best Startup Employer 2024” by Forbes.

We combine our business acumen and our extensive technological expertise to develop AI solutions that meet our clients' business needs. We use our experience to provide strategic AI consulting: crafting and implementing your AI adoption and data strategies, defining your roadmap, and accelerating your projects to gain efficiency.

We have successfully delivered AI solutions for companies such as Air Transat, Metro, Pratt & Whitney, Groupe Canam, Radio-Canada, Alloprof and Société de Transport de Montréal (STM)."	Information technologies	Canada	13	Hors France
Morpheus.Network	"Morpheus.Network is intensely focused on helping companies and government organizations eliminate inefficiencies and remove barriers to optimize and automate enterprise supply chain operations. Their multi-award winning supply chain middleware platform leverages transformational digital technologies such as ML/AI, IoT and Blockchain and has over 150 integrations with leading companies, including SAP, DHL, Fedex, Cargowise, Dimitra, Telefonica, Marsh, Swift and more! Morpheus.Network helps clients maximize revenue through digitization and process automation, protecting sensitive data, and untangling complex issues with the legacy supply chain system while delivering effective, equitable, and efficient global trade solutions.

“If you fix the supply chain, you fix the world!” - Dan Weinberger CEO & Co-Founder"	Software Development/Cloud services	Canada	179	Hors France
Moten Technologies		Health	France	0	France
MotionXP	"Wanna be Maverick, Michel Vaillant or Luke Skywalker in your garage? Feeling your plane, car or X-wing as real ? Try my
MotionXP dynamic simulator!

No more motion sickness, moving VR is now limitless!

Making next level motion simulator affordable!

Can be use for privates, teaching, schools, resaerch, arcade rooms, plane club or serious army gaming... possibilities are endless."	HR/Training/Education	France	28	France
MotorBioNet	"A unique, innovative, non-flammable fuel additive based on nanotechnology to decarbonise all petrol, diesel, hybrid and RNG internal combustion engines. This fuel additive is CE certified to ISO 9001, ISO 14001 and ISO 45001 standards.
It's easy to use: just add the additive tablet to the fuel tank before filling up or half-filling up, and after a few kilometres of driving, you'll see a sharp reduction in fine particles and air pollution, as well as a drop in fuel consumption."	Mobility/Transportation	France	429	France
MS	I am developing an innovative startup that offers a non-intrusive centralized control solution for existing tertiary buildings' air conditioners. Our aim is to help companies optimize energy consumption, deal with increasing electricity costs, and comply with regulations. Currently, only 8 to 10% of French buildings have centralized management systems, mostly for new constructions. My solution requires no infrastructure modifications and consists of a central monitor controlling up to 200 connected remote controls. Each remote control receives setpoints from the monitor to transmit to the air conditioner. The application enables automatic scenario creation, air conditioner grouping, and data feedback access. With its own wireless communication network, the system ensures cybersecurity, quick installation, and user-friendliness. The resulting energy savings guarantee a short ROI. The central monitor is made from recyclable and biodegradable materials using 3D printing.	Smart City/Building	France	129	France
MS4ALL	"MS4ALL is a young deeptech startup stemming from CNRS expertise which aims to democratize access to molecular simulation through a user approach on the cloud.
New materials or innovative surface treatments are an essential source of innovation but their development is costly and time-consuming. Molecular simulation makes it possible to simulate a new material or evaluate the best surface treatment process, which allows for substantial savings in terms of cost and development time. 
In the field of the environment, the study of the degradability of polluting molecules in order to find the most suitable treatment is becoming a major issue for drinking water in particular. The simulation can predict the way in which a polluting molecule will degrade, know its degradation products and potentially their interaction. 
The objective is to make its simulations accessible to as many people as possible, in particular by making them available within a native cloud platform in pay-per-use mode."	Software Development/Cloud services	France	71	France
MUBE	"MUBE is a French start-up that designs connected green columns to improve the urban environment. 
Why a column? Because it's the most effective architecture for combining the benefits of plants with urban telecom infrastructure.
Using a minimum of floor space, a green column recreates a 360° vertical garden, acting as a filtering and refreshing lung. In just a few months and with minimal maintenance, hundreds of flowers cover the column, embellishing the urban space.
In addition to being a popular urban garden for residents, the column is also a high point in the heart of the city that will serve as a support for all the connected equipment of the smart city, for mobility, waste and energy management, resource conservation, safety and many other applications...
The mube green column is the most effective solution for meeting the environmental and technological challenges of tomorrow's sustainable city!"	Telecom/Connectivity	France	393	France
mui Lab, Inc.	mui Lab is a Kyoto-based startup dedicated to establishing harmony between, people, nature, and technology. Inspired by traditional Japanese philosophy and principles of Calm Technology, mui Lab builds natural interfaces and systems that blend seamlessly into the interior home landscape. mui Lab's flagship product, mui Board Gen 2, is a smart home controller made of wood, which disappears into the background when not in use. mui Lab's products and services have been adopted by dozens of companies in the residential (including smart city) and energy sector.	Smart City/Building	Japan	0	Hors France
